"A","ALIMENTARY TRACT AND METABOLISM","VOIES DIGESTIVES ET METABOLISME","ALIMENTÄRES SYSTEM UND STOFFWECHSEL"
"J07AG51","HEMOPHILUS INFLUENZAE B, COMBINATIONS WITH TOXOIDS","HAEMOPHILUS INFLUENZAE B EN ASSOCIATION AVEC DES ANATOXINES","HAEMOPHILUS INFLUENZAE B, KOMBINATIONEN MIT TOXOIDEN"
"J07AG52","HEMOPHILUS INFLUENZAE B, COMBINATIONS WITH PERTUSSIS AND TOXOIDS","HAEMOPHILUS INFLUENZAE B EN ASSOCIATION AVEC VACCINS ANTICOQUELUCHEUX ET ANATOXINES","HAEMOPHILUS INFLUENZAE B, KOMBINATIONEN MIT PERTUSSIS UND TOXOIDEN"
"J07AH","MENINGOCOCCAL VACCINES","VACCINS ANTIMENINGOCOCCIQUES","MENINGOKOKKEN-IMPFSTOFFE"
"J07AH01","MENINGOCOCCUS A, PURIFIED POLYSACCHARIDES ANTIGEN","MENINGOCOQUE TYPE A, ANTIGENES POLYSACCHARIDIQUES PURIFIES","MENINGOKOKKUS A, GEREINIGTES POLYSACCHARID-ANTIGEN"
"J07AH02","OTHER MENINGOCOCCAL MONOVALENT PURIFIED POLYSACCHARIDES ANTIGEN","MENINGOCOQUES, AUTRES ANTIGENES POLYSACCHARIDIQUES MONOVALENTS PURIFIES","ANDERE MENINGOKOKKEN MONOVALENT, GEREINIGTES POLYSACCHARID-ANTIGEN"
"J07AH03","MENINGOCOCCUS, BIVALENT PURIFIED POLYSACCHARIDES ANTIGEN","MENINGOCOQUES, ANTIGENES POLYSACCHARIDIQUES BIVALENTS PURIFIES","MENINGOKOKKUS BIVALENT, GEREINIGTES POLYSACCHARID-ANTIGEN"
"J07AH04","MENINGOCOCCUS, TETRAVALENT PURIFIED POLYSACCHARIDES ANTIGEN","MENINGOCOQUES, ANTIGENES POLYSACCHARIDIQUES TETRAVALENTS PURIFIES","MENINGOKOKKUS TETRAVALENT, GEREINIGTES POLYSACCHARID-ANTIGEN"
"J07AH05","OTHER MENINGOCOCCAL POLYVALENT PURIFIED POLYSACCHARIDES ANTIGEN","MENINGOCOQUES, AUTRES ANTIGENES POLYSACCHARIDIQUES POLYVALENTS PURIFIES","ANDERE MENINGOKOKKEN POLYVALENT, GEREINIGTES POLYSACCHARID-ANTIGEN"
"J07AH06","MENINGOCOCCUS B, OUTER MEMBRANE VESICLE VACCINE","MENINGOCOQUE TYPE B, VACCIN ANTI-CAPSULE","MENINGOKOKKUS B, ÄUSSERES-MEMBRANVESIKEL-ANTIGEN"
"J07AH07","MENINGOCOCCUS C,PURIFIED POLYSACCHARIDES ANTIGEN CONJUGATED","MENINGOCOQUE TYPE C, CONJUGUE A DES ANTIGENES POLYSACCHARIDIQUES PURIFIES","MENINGOKOKKUS C, GEREINIGTES POLYSACCHARID-ANTIGEN, KONJUGIERT"
"J07AH08","MENINGOCOCCUS, TETRAVALENT PURIFIED POLYSACCHARIDES ANTIGEN CONJUGATED","MENINGOCOCCUS, TETRAVALENT PURIFIED POLYSACCHARIDES ANTIGEN CONJUGATED","MENINGOKOKKUS TETRAVALENT, GEREINIGTES POLYSACCHARID-ANTIGEN, KONJUGIERT"
"J07AJ","PERTUSSIS VACCINES","VACCINS CONTRE LA COQUELUCHE","PERTUSSIS-IMPFSTOFFE"
"J07AJ01","PERTUSSIS, INACTIVATED, WHOLE CELL","COQUELUCHE, BACTERIE ENTIERE INACTIVEE","PERTUSSIS, INAKTIVIERT, GANZE ZELLE"
"J07AJ02","PERTUSSIS, PURIFIED ANTIGEN","COQUELUCHE, ANTIGENE PURIFIE","PERTUSSIS, GEREINIGTES ANTIGEN"
"J07AJ51","PERTUSSIS, INACTIVATED, WHOLE CELL, COMBINATIONS WITH TOXOIDS","COQUELUCHE, BACTERIE ENTIERE INACTIVEE EN ASSOCIATION AVEC DES ANATOXINES","PERTUSSIS, INAKTIVIERT, GANZE ZELLE, KOMBINATIONEN MIT TOXOIDEN"
"J07AJ52","PERTUSSIS, PURIFIED ANTIGEN, COMBINATIONS WITH TOXOIDS","COQUELUCHE, ANTIGENE PURIFIE EN ASSOCIATION AVEC DES ANATOXINES","PERTUSSIS, GEREINIGTES ANTIGEN, KOMBINATIONEN MIT TOXOIDEN"
"J07AK","PLAGUE VACCINES","VACCINS CONTRE LA PESTE","PEST-IMPFSTOFFE"
"J07AK01","PLAGUE, INACTIVATED, WHOLE CELL","PESTE, BACTERIE ENTIERE INACTIVEE","PEST, INAKTIVIERT, GANZE ZELLE"
"J07AL","PNEUMOCOCCAL VACCINES","VACCINS ANTIPNEUMOCOCCIQUES","PNEUMOKOKKEN-IMPFSTOFFE"
"J07AL01","PNEUMOCOCCUS, PURIFIED POLYSACCHARIDES ANTIGEN","PNEUMOCOCCUS, ANTIGENES POLYSACCHARIDIQUES PURIFIES","PNEUMOKOKKEN, GEREINIGTES POLYSACCHARID-ANTIGEN"
"J07AL02","PNEUMOCOCCUS, PURIFIED POLYSACCHARIDES ANTIGEN CONJUGATED","PNEUMOCOCCUS, ANTIGENES POLYSACCHARIDIQUES CONJUGUES PURIFIES","PNEUMOKOKKEN, GEREINIGTES POLYSACCHARID-ANTIGEN, KONJUGIERT"
"J07AM","TETANUS VACCINES","VACCINS ANTITETANIQUES","TETANUS-IMPFSTOFFE"
"J07AM01","TETANUS TOXOID","ANATOXINE TETANIQUE","TETANUS-TOXOID"
"J07AM51","TETANUS TOXOID, COMBINATIONS WITH DIPHTHERIA TOXOID","ANATOXINE TETANIQUE EN ASSOCIATION AVEC ANATOXINE DIPHTERIQUE","TETANUS-TOXOID, KOMBINATIONEN MIT DIPHTHERIE-TOXOID"
"J07AM52","TETANUS TOXOID, COMBINATIONS WITH TETANUS IMMUNOGLOBULIN","ANATOXINE TETANIQUE EN ASSOCIATION AVEC IMMUNOGLOBULINE ANTITETANIQUE","TETANUS-TOXOID, KOMBINATIONEN MIT TETANUS-IMMUNGLOBULIN"
"J07AN","TUBERCULOSIS VACCINES","VACCINS ANTITUBERCULEUX","TUBERKULOSE-IMPFSTOFFE"
"J07AN01","TUBERCULOSIS, LIVE ATTENUATED","TUBERCULOSE, BACTERIE VIVANTE ATTENUEE","TUBERKULOSE, LEBEND ABGESCHWÄCHT"
"J07AP","TYPHOID VACCINES","VACCINS ANTITYPHOIDIQUES","TYPHUS-IMPFSTOFFE"
"J07AP01","TYPHOID, ORAL, LIVE ATTENUATED","TYPHOÏDE, BACTERIE VIVANTE ATTENUEE ORALE","TYPHUS, ORAL, LEBEND ABGESCHWÄCHT"
"J07AP02","TYPHOID, INACTIVATED, WHOLE CELL","TYPHOÏDE, BACTERIE ENTIERE INACTIVEE","TYPHUS, INAKTIVIERT, GANZE ZELLE"
"J07AP03","TYPHOID, PURIFIED POLYSACCHARIDE ANTIGEN","TYPHOÏDE, ANTIGENE POLYSACCHARIDIQUE PURIFIE","TYPHUS, GEREINIGTES POLYSACCHARID-ANTIGEN"
"J07AP10","TYPHOID, COMBINATIONS WITH PARATYPHI TYPES","TYPHOÏDE, EN ASSOCIATION AVEC PARATYPHI","TYPHUS, KOMBINATIONEN MIT PARATYPHUSTYPEN"
"J07AR","TYPHUS (EXANTHEMATICUS) VACCINES","VACCINS CONTRE LE TYPHUS (EXANTHEMATIQUE)","TYPHUS (EXANTHEMATICUS)-IMPFSTOFFE"
"J07AR01","TYPHUS EXANTHEMATICUS, INACTIVATED, WHOLE CELL","TYPHUS EXANTHEMATIQUE, BACTERIE ENTIERE INACTIVEE","TYPHUS EXANTHEMATICUS, INAKTIVIERT, GANZE ZELLE"
"J07AX","OTHER BACTERIAL VACCINES","AUTRES VACCINS BACTERIENS","ANDERE BAKTERIELLE IMPFSTOFFE"
"J07B","VIRAL VACCINES","VACCINS VIRAUX","VIRALE IMPFSTOFFE"
"J07BA","ENCEPHALITIS VACCINES","VACCINS CONTRE LES ENCEPHALITES","ENCEPHALITIS-IMPFSTOFFE"
"J07BA01","ENCEPHALITIS, TICK BORNE, INACTIVATED, WHOLE VIRUS","ENCEPHALITE TRANSMISE PAR LES TIQUES, VIRUS ENTIER INACTIVE","FSME, INAKTIVIERT, GANZES VIRUS"
"J07BA02","ENCEPHALITIS, JAPANESE, INACTIVATED, WHOLE VIRUS","ENCEPHALITE JAPONAISE, VIRUS ENTIER INACTIVE","ENCEPHALITIS, JAPANISCHE, INAKTIVIERT, GANZES VIRUS"
"J07BB","INFLUENZA VACCINES","VACCINS ANTIGRIPPAUX","INFLUENZA-IMPFSTOFFE"
"J07BB01","INFLUENZA, INACTIVATED, WHOLE VIRUS","GRIPPE, VIRUS ENTIER INACTIVE","INFLUENZA, INAKTIVIERT, GANZES VIRUS"
"J07BB02","INFLUENZA, PURIFIED ANTIGEN","GRIPPE, ANTIGENE PURIFIE","INFLUENZA, GEREINIGTES ANTIGEN"
"J07BC","HEPATITIS VACCINES","VACCINS CONTRE L'HEPATITE","HEPATITIS-IMPFSTOFFE"
"J07BC01","HEPATITIS B, PURIFIED ANTIGEN","HEPATITE B, ANTIGENE PURIFIE","HEPATITIS B, GEREINIGTES ANTIGEN"
"J07BC02","HEPATITIS A, INACTIVATED, WHOLE VIRUS","HEPATITE A, VIRUS ENTIER INACTIVE","HEPATITIS A, INAKTIVIERT, GANZES VIRUS"
"J07BC20","COMBINATIONS","ASSOCIATIONS","KOMBINATIONEN"
"J07BD","MORBILLI VACCINES","VACCINS CONTRE LA ROUGEOLE","MASERN-IMPFSTOFFE"
"J07BD01","MORBILLI, LIVE ATTENUATED","ROUGEOLE, VIRUS VIVANT ATTENUE","MASERN, LEBEND ABGESCHWÄCHT"
"J07BD51","MORBILLI, COMBINATIONS WITH PAROTITIS, LIVE ATTENUATED","ROUGEOLE EN ASSOCIATION AUX OREILLONS, VIRUS VIVANTS ATTENUES","MASERN, KOMBINATIONEN MIT MUMPS, LEBEND ABGESCHWÄCHT"
"J07BD52","MORBILLI, COMBINATIONS WITH PAROTITIS AND RUBELLA, LIVE ATTENUATED","ROUGEOLE EN ASSOCIATION AUX OREILLONS ET A LA RUBEOLE, VIRUS VIVANTS ATTENUES","MASERN, KOMBINATIONEN MIT MUMPS UND RÖTELN, LEBEND ABGESCHWÄCHT"
"J07BD53","MORBILLI, COMBINATIONS WITH RUBELLA, LIVE ATTENUATED","ROUGEOLE EN ASSOCIATION A LA RUBEOLE, VIRUS VIVANTS ATTENUES","MASERN, KOMBINATIONEN MIT RÖTELN, LEBEND ABGESCHWÄCHT"
"J07BE","PAROTITIS VACCINES","VACCINS CONTRE LES OREILLONS","MUMPS-IMPFSTOFFE"
"J07BE01","PAROTITIS, LIVE ATTENUATED","OREILLONS, VIRUS VIVANT ATTENUE","MUMPS, LEBEND ABGESCHWÄCHT"
"J07BF","POLIOMYELITIS VACCINES","VACCINS CONTRE LA POLIOMYELITE","POLIOMYELITIS-IMPFSTOFFE"
"J07BF01","POLIOMYELITIS ORAL, MONOVALENT LIVE ATTENUATED","POLIOMYELITE, VIRUS VIVANT MONOVALENT ATTENUE ORAL","POLIOMYELITIS, ORAL, MONOVALENT, LEBEND ABGESCHWÄCHT"
"J07BF02","POLIOMYELITIS ORAL, TRIVALENT, LIVE ATTENUATED","POLIOMYELITE, VIRUS VIVANT TRIVALENT ATTENUE ORAL","POLIOMYELITIS, ORAL, TRIVALENT, LEBEND ABGESCHWÄCHT"
"J07BF03","POLIOMYELITIS, TRIVALENT, INACTIVATED, WHOLE VIRUS","POLIOMYELITE, VIRUS ENTIER TRIVALENT INACTIVE","POLIOMYELITIS, TRIVALENT, INAKTIVIERT, GANZES VIRUS"
"J07BG","RABIES VACCINES","VACCINS ANTIRABIQUES","TOLLWUT-IMPFSTOFFE"
"J07BG01","RABIES, INACTIVATED, WHOLE VIRUS","RAGE, VIRUS ENTIER INACTIVE","TOLLWUT, INAKTIVIERT, GANZES VIRUS"
"J07BH","ROTA VIRUS DIARRHEA VACCINES","VACCINS CONTRE LES DIARRHEES A ROTAVIRUS","ROTAVIRUS-DIARRHOE-IMPFSTOFFE"
"J07BH01","ROTA VIRUS, LIVE ATTENUATED","ROTAVIRUS, VIRUS VIVANT ATTENUE","ROTAVIRUS, LEBEND ABGESCHWÄCHT"
"J07BJ","RUBELLA VACCINES","VACCINS CONTRE LA RUBEOLE","RÖTELN-IMPFSTOFFE"
"J07BJ01","RUBELLA, LIVE ATTENUATED","RUBEOLE, VIRUS VIVANT ATTENUE","RÖTELN, LEBEND ABGESCHWÄCHT"
"J07BJ51","RUBELLA, COMBINATIONS WITH PAROTITIS, LIVE ATTENUATED","RUBEOLE EN ASSOCIATION AUX OREILLONS, VIRUS VIVANTS ATTENUES","RÖTELN, KOMBINATIONEN MIT MUMPS, LEBEND ABGESCHWÄCHT"
"J07BK","VARICELLA VACCINES","VACCINS CONTRE LA VARICELLE","VARICELLA ZOSTER IMPFSTOFFE"
"J07BK01","VARICELLA, LIVE ATTENUATED","VARICELLE, VIRUS VIVANT ATTENUE","VARICELLA, LEBEND ABGESCHWÄCHT"
"J07BL","YELLOW FEVER VACCINES","VACCINS CONTRE LA FIEVRE JAUNE","GELBFIEBER-IMPFSTOFFE"
"J07BL01","YELLOW FEVER, LIVE ATTENUATED","FIEVRE JAUNE, VIRUS VIVANT ATTENUE","GELBFIEBER, LEBEND ABGESCHWÄCHT"
"J07BX","OTHER VIRAL VACCINES","AUTRES VACCINS VIRAUX","ANDERE VIRALE IMPFSTOFFE"
"J07C","BACTERIAL AND VIRAL VACCINES, COMBINED","VACCINS BACTERIENS ET VIRAUX ASSOCIES","BAKTERIELLE UND VIRALE IMPFSTOFFE, KOMBINIERT"
"J07CA","BACTERIAL AND VIRAL VACCINES, COMBINED","VACCINS BACTERIENS ET VIRAUX ASSOCIES","BAKTERIELLE UND VIRALE IMPFSTOFFE, KOMBINIERT"
"J07CA01","DIPHTHERIA-POLIOMYELITIS-TETANUS","DIPHTERIE - POLIOMYELITE - TETANOS","DIPHTHERIE-POLIOMYELITIS-TETANUS"
"J07CA02","DIPHTHERIA-PERTUSSIS-POLIOMYELITIS-TETANUS","DIPHTERIE - COQUELUCHE - POLIOMYELITE - TETANOS","DIPHTHERIE-PERTUSSIS-POLIOMYELITIS-TETANUS"
"J07CA03","DIPHTHERIA-RUBELLA-TETANUS","DIPHTERIE-RUBEOLE-TETANOS","DIPHTHERIE-RÖTELN-TETANUS"
"J07CA04","HEMOPHILUS INFLUENZAE B AND POLIOMYELITIS","HAEMOPHILUS INFLUENZAE B ET POLIOMYELITE","HAEMOPHILUS INFLUENZAE B UND POLIOMYELITIS"
"J07CA05","DIPHTHERIA-HEPATITIS B-PERTUSSIS-TETANUS","DIPHTERIE-HEPATITE B-COQUELUCHE-TETANOS","DIPHTHERIE-HEPATITIS B-PERTUSSIS-TETANUS"
"J07CA06","DIPHTHERIA-HEMOPHILUS INFLUENZAE B-PERTUSSIS-POLIOMYELITIS-TETANUS","DIPHTERIE - HAEMOPHILUS INFLUENZAE B - COQUELUCHE - POLIOMYELITE - TETANOS","DIPHTHERIE-HAEMOPHILUS-INFLUENZAE B-PERTUSSIS-POLIOMYELITIS-TETANUS"
"J07CA07","DIPHTHERIA-HEPATITIS B-TETANUS","DIPHTERIE-HEPATITE B-TETANOS","DIPHTHERIE-HEPATITIS B-TETANUS"
"J07CA08","HEMOPHILUS INFLUENZAE B AND HEPATITIS B","HEMOPHILUS INFLUENZAE B-HEPATITE B","HAEMOPHILUS INFLUENZAE B UND HEPATITIS B"
"J07CA09","DIPHTERIA-HEMOPHILUS INFLUENZAE B-PERTUSSIS-POLIOMYELITIS-TETANUS-HEPATITIS B","DIPHTERIE-HEMOPHILUS INFLUENZAE B-COQUELUCHE-POLIO-TETANOS-HEPATITE B","DIPHTHERIE-HAEMOPHILUS-INFLUENZAE B-PERTUSSIS-POLIOMYELITIS-TETANUS-HEPATITIS B"
"J07X","OTHER VACCINES","AUTRES VACCINS","ANDERE IMPFSTOFFE"
"L","ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS","ANTINEOPLASIQUES ET IMMUNOMODULATEURS","ANTINEOPLASTISCHE UND IMMUNMODULIERENDE MITTEL"
"L01","ANTINEOPLASTIC AGENTS","ANTINEOPLASIQUES","ANTINEOPLASTISCHE MITTEL"
"L01A","ALKYLATING AGENTS","AGENTS ALKYLANTS","ALKYLIERENDE MITTEL"
"L01AA","NITROGEN MUSTARD ANALOGUES","MOUTARDES A L'AZOTE","STICKSTOFFLOST-ANALOGA"
"L01AA01","CYCLOPHOSPHAMIDE","CYCLOPHOSPHAMIDE","CYCLOPHOSPHAMID"
"L01AA02","CHLORAMBUCIL","CHLORAMBUCIL","CHLORAMBUCIL"
"L01AA03","MELPHALAN","MELPHALAN","MELPHALAN"
"L01AA05","CHLORMETHINE","CHLORMETHINE","CHLORMETHIN"
"L01AA06","IFOSFAMIDE","IFOSFAMIDE","IFOSFAMID"
"L01AA07","TROFOSFAMIDE","TROFOSFAMIDE","TROFOSFAMID"
"L01AA08","PREDNIMUSTINE","PREDNIMUSTINE","PREDNIMUSTIN"
"L01AA09","BENDAMUSTINE","BENDAMUSTINE","BENDAMUSTIN"
"L01AB","ALKYL SULFONATES","ALKYLSULFONATES","ALKYLSULFONATE"
"L01AB01","BUSULFAN","BUSULFAN","BUSULFAN"
"L01AB02","TREOSULFAN","TREOSULFAN","TREOSULFAN"
"L01AB03","MANNOSULFAN","MANNOSULFAN","MANNOSULFAN"
"L01AC","ETHYLENE IMINES","ETHYLENEIMINES","ETHYLENIMINE"
"L01AC01","THIOTEPA","THIOTEPA","THIOTEPA"
"L01AC02","TRIAZIQUONE","TRIAZIQUONE","TRIAZIQUON"
"L01AC03","CARBOQUONE","CARBOQUONE","CARBOQUON"
"L01AD","NITROSOUREAS","NITROSOUREES","NITROSOHARNSTOFFE"
"L01AD01","CARMUSTINE","CARMUSTINE","CARMUSTIN"
"L01AD02","LOMUSTINE","LOMUSTINE","LOMUSTIN"
"L01AD03","SEMUSTINE","SEMUSTINE","SEMUSTIN"
"L01AD04","STREPTOZOCIN","STREPTOZOCINE","STREPTOZOCIN"
"L01AD05","FOTEMUSTINE","FOTEMUSTINE","FOTEMUSTIN"
"L01AD06","NIMUSTINE","NIMUSTINE","NIMUSTIN"
"L01AD07","RANIMUSTINE","RANIMUSTINE","RANIMUSTIN"
"L01AG","EPOXIDES","EPOXYDES","EPOXIDE"
"L01AG01","ETOGLUCID","ETOGLUCIDE","ETOGLUCID"
"L01AX","OTHER ALKYLATING AGENTS","AUTRES AGENTS ALKYLANTS","ANDERE ALKYLIERENDE MITTEL"
"L01AX01","MITOBRONITOL","MITOBRONITOL","MITOBRONITOL"
"L01AX02","PIPOBROMAN","PIPOBROMAN","PIPOBROMAN"
"L01AX03","TEMOZOLOMIDE","TEMOZOLOMIDE","TEMOZOLOMID"
"L01AX04","DACARBAZINE","DACARBAZINE","DACARBAZIN"
"L01B","ANTIMETABOLITES","ANTIMETABOLITES","ANTIMETABOLITE"
"L01BA","FOLIC ACID ANALOGUES","ANALOGUES DE L'ACIDE FOLIQUE","FOLSÄURE-ANALOGA"
"L01BA01","METHOTREXATE","METHOTREXATE","METHOTREXAT"
"L01BA02","PALTITREXID","PALTITREXID","PALTITREXID"
"L01BA03","RALTITREXED","RALTITREXED","RALTITREXED"
"L01BA04","PEMETREXED","PEMETREXED","PEMETREXED"
"L01BA05","PRALATREXATE","PRALATREXATE","PRALATREXAT"
"L01BB","PURINE ANALOGUES","ANALOGUES DE LA PURINE","PURIN-ANALOGA"
"L01BB02","MERCAPTOPURINE","MERCAPTOPURINE","MERCAPTOPURIN"
"L01BB03","TIOGUANINE","TIOGUANINE","TIOGUANIN"
"L01BB04","CLADRIBINE","CLADRIBINE","CLADRIBIN"
"L01BB05","FLUDARABINE","FLUDARABINE","FLUDARABIN"
"L01BC","PYRIMIDINE ANALOGUES","ANALOGUES DE LA PYRIMIDINE","PYRIMIDIN-ANALOGA"
"L01BC01","CYTARABINE","CYTARABINE","CYTARABIN"
"L01BC02","FLUOROURACIL","FLUOROURACILE","FLUOROURACIL"
"L01BC03","TEGAFUR","TEGAFUR","TEGAFUR"
"L01BC04","CARMOFUR","CARMOFUR","CARMOFUR"
"L01BC05","GEMCITABINE","GEMCITABINE","GEMCITABIN"
"L01BC06","CAPECITABINE","CAPECITABINE","CAPECITABIN"
"L01BC52","FLUOROURACIL, COMBINATIONS","FLUOROURACILE EN ASSOCIATION","FLUOROURACIL, KOMBINATIONEN"
"L01BC53","TEGAFUR, COMBINATIONS","TEGAFUR EN ASSOCIATION","TEGAFUR, KOMBINATIONEN"
"L01C","PLANT ALKALOIDS AND OTHER NATURAL PRODUCTS","ALCALOÏDES VEGETAUX ET AUTRES MEDICAMENTS D'ORIGINE NATURELLE","PFLANZLICHE ALKALOIDE UND ANDERE NATÜRLICHE MITTEL"
"L01CA","VINCA ALKALOIDS AND ANALOGUES","VINCAALCALOÏDES ET ANALOGUES","VINKA-ALKALOIDE UND ANALOGA"
"L01CA01","VINBLASTINE","VINBLASTINE","VINBLASTIN"
"L01CA02","VINCRISTINE","VINCRISTINE","VINCRISTIN"
"L01CA03","VINDESINE","VINDESINE","VINDESIN"
"L01CA04","VINORELBINE","VINORELBINE","VINORELBIN"
"L01CA05","VINFLUNINE","VINFLUNINE","VINFLUNIN"
"L01CB","PODOPHYLLOTOXIN DERIVATIVES","DERIVES DE LA PODOPHYLLOTOXINE","PODOPHYLLOTOXIN-DERIVATE"
"L01CB01","ETOPOSIDE","ETOPOSIDE","ETOPOSID"
"L01CB02","TENIPOSIDE","TENIPOSIDE","TENIPOSID"
"L01CC","COLCHICINE DERIVATIVES","DERIVES DE LA COLCHICINE","COLCHICIN-DERIVATE"
"L01CC01","DEMECOLCINE","DEMECOLCINE","DEMECOLCIN"
"L01CD","TAXANES","TAXANES","TAXANE"
"L01CD01","PACLITAXEL","PACLITAXEL","PACLITAXEL"
"L01CD02","DOCETAXEL","DOCETAXEL","DOCETAXEL"
"L01CX","OTHER PLANT ALKALOIDS AND NATURAL PRODUCTS","AUTRES PLANTES ALCALOIDES ET PRODUITS NATURELS","ANDERE PFLANZLICHE ALKALOIDE UND NATÜRLICHE MITTEL"
"L01CX01","TRABECTEDIN","TRABECTEDINE","TRABECTEDIN"
"L01D","CYTOTOXIC ANTIBIOTICS AND RELATED SUBSTANCES","ANTIBIOTIQUES CYTOTOXIQUES ET APPARENTES","ZYTOTOXISCHE ANTIBIOTIKA UND VERWANDTE SUBSTANZEN"
"L01DA","ACTINOMYCINES","ACTINOMYCINES","ACTINOMYCINE"
"L01DA01","DACTINOMYCIN","DACTINOMYCINE","DACTINOMYCIN"
"L01DB","ANTHRACYCLINES AND RELATED SUBSTANCES","ANTHRACYCLINES ET APPARENTES","ANTHRACYCLINE UND VERWANDTE SUBSTANZEN"
"L01DB01","DOXORUBICIN","DOXORUBICINE","DOXORUBICIN"
"L01DB02","DAUNORUBICIN","DAUNORUBICINE","DAUNORUBICIN"
"L01DB03","EPIRUBICIN","EPIRUBICINE","EPIRUBICIN"
"L01DB04","ACLARUBICIN","ACLARUBICINE","ACLARUBICIN"
"L01DB05","ZORUBICIN","ZORUBICINE","ZORUBICIN"
"L01DB06","IDARUBICIN","IDARUBICINE","IDARUBICIN"
"L01DB07","MITOXANTRONE","MITOXANTRONE","MITOXANTRON"
"L01DB08","PIRARUBICIN","PIRARUBICINE","PIRARUBICIN"
"L01DB09","VALRUBICIN","VALRUBICINE","VALRUBICIN"
"L01DC","OTHER CYTOTOXIC ANTIBIOTICS","AUTRES ANTIBIOTIQUES CYTOTOXIQUES","ANDERE ZYTOTOXISCHE ANTIBIOTIKA"
"L01DC01","BLEOMYCIN","BLEOMYCINE","BLEOMYCIN"
"L01DC02","PLICAMYCIN","PLICAMYCINE","PLICAMYCIN"
"L01DC03","MITOMYCIN","MITOMYCINE","MITOMYCIN"
"L01X","OTHER ANTINEOPLASTIC AGENTS","AUTRES ANTINEOPLASIQUES","ANDERE ANTINEOPLASTISCHE MITTEL"
"L01XA","PLATINUM COMPOUNDS","DERIVES DU PLATINE","PLATIN-HALTIGE VERBINDUNGEN"
"L01XA01","CISPLATIN","CISPLATINE","CISPLATIN"
"L01XA02","CARBOPLATIN","CARBOPLATINE","CARBOPLATIN"
"L01XA03","OXALIPLATIN","OXALIPLATINE","OXALIPLATIN"
"L01XA04","SATRAPLATIN","SATRAPLATIN","SATRAPLATIN"
"L01XB","METHYLHYDRAZINES","METHYLHYDRAZINES","METHYLHYDRAZINE"
"L01XB01","PROCARBAZINE","PROCARBAZINE","PROCARBAZIN"
"L01XC","MONOCLONAL ANTIBODIES","ANTICORPS MONOCLONAUX","MONOKLONALE ANTIKÖRPER"
"L01XC01","EDRECOLOMAB","EDRECOLOMAB","EDRECOLOMAB"
"L01XC02","RITUXIMAB","RITUXIMAB","RITUXIMAB"
"L01XC03","TRASTUZUMAB","TRASTUZUMAB","TRASTUZUMAB"
"L01XC04","ALEMTUZUMAB","ALEMTUZUMAB","ALEMTUZUMAB"
"L01XC05","GEMTUZUMAB","GEMTUZUMAB","GEMTUZUMAB"
"L01XC06","CETUXIMAB","CETUXIMAB","CETUXIMAB"
"L01XC07","BEVACIZUMAB","BEVACIZUMAB","BEVACIZUMAB"
"L01XC08","PANITUMUMAB","PANITUMUMAB","PANITUMUMAB"
"L01XC09","CATUMAXOMAB","CATUMAXOMAB","CATUMAXOMAB"
"L01XC10","OFATUMUMAB","OFATUMUMAB","IBRITUMOMAB TIUXETAN"
"L01XD","AGENTS USED IN PHOTODYNAMIC THERAPY","MEDICAMENTS UTILISES DANS LA THERAPIE PHOTODYNAMIQUE","SENSIBILISATOREN FÜR DIE PHOTODYNAMISCHE/RADIO-THERAPIE"
"L01XD01","PORFIMER SODIUM","PORFIMER SODIUM","PORFIMER NATRIUM"
"L01XD03","METHYLE AMINOLEVULINATE","METHYLE AMINOLEVULINATE","METHYLAMINOLEVULINAT"
"L01XD04","AMINOLEVULINIC ACID","ACIDE LEVULINIQUE","AMINOLEVULINSÄURE"
"L01XD05","TEMOPORFIN","TEMOPORFIN","TEMOPORFIN"
"L01XD06","EFAPROXIRAL","EFAPROXIRAL","EFAPROXIRAL"
"L01XE","PROTEIN KINASE INHIBITORS","INHIBITEURS DE LA PROTEINE KINASE","PROTEINKINASE-INHIBITOREN"
"L01XE01","IMATINIB","IMATINIB","IMATINIB"
"L01XE02","GEFITINIB","GEFITINIB","GEFITINIB"
"L01XE03","ERLOTINIB","ERLOTINIB","ERLOTINIB"
"L01XE04","SUNITINIB","SUNITINIB","SUNITINIB"
"L01XE05","SORAFENIB","SORAFENIB","SORAFENIB"
"L01XE06","DASATINIB","DASATINIB","DASATINIB"
"L01XE07","LAPATINIB","LAPATINIB","LAPATINIB"
"L01XE08","NILOTINIB","NILOTINIB","NILOTINIB"
"L01XE09","TEMSIROLIMUS","TEMSIROLIMUS","TEMSIROLIMUS"
"L01XE10","EVEROLIMUS","EVEROLIMUS","EVERLOLIMUS"
"L01XE11","PAZOPANIB","PAZOPANIB","PAZOPANIB"
"L01XX","OTHER ANTINEOPLASTIC AGENTS","AUTRE ANTINEOPLASIQUE","ANDERE ANTINEOPLASTISCHE MITTEL"
"L01XX01","AMSACRINE","AMSACRINE","AMSACRIN"
"L01XX02","ASPARAGINASE","ASPARAGINASE","ASPARAGINASE"
"L01XX03","ALTRETAMINE","ALTRETAMINE","ALTRETAMIN"
"L01XX05","HYDROXYCARBAMIDE","HYDROXYCARBAMIDE","HYDROXYCARBAMID"
"L01XX07","LONIDAMINE","LONIDAMINE","LONIDAMIN"
"L01XX08","PENTOSTATIN","PENTOSTATINE","PENTOSTATIN"
